time,open,high,low,close,volume
2019-12-23 00:00,1481.095,1489.565,1480.415,1488.905,1374
2019-12-24 00:00,1488.905,1500.465,1488.378,1498.445,912
2019-12-25 00:00,1499.358,1504.008,1497.215,1503.278,270
2019-12-26 00:00,1503.268,1513.898,1502.268,1512.705,1377
2019-12-27 00:00,1512.725,1515.268,1507.288,1510.775,1110
2019-12-29 00:00,1511.458,1515.738,1510.998,1515.358,270
2019-12-30 00:00,1515.368,1521.935,1510.715,1521.575,1373
2019-12-31 00:00,1521.588,1525.235,1516.515,1516.915,1109
2020-01-01 00:00,1518.768,1521.135,1517.115,1520.215,270
2020-01-02 00:00,1520.295,1540.968,1518.395,1539.875,1377
2020-01-03 00:00,1539.855,1553.515,1537.398,1551.515,1110
2020-01-05 00:00,1559.735,1585.625,1559.735,1578.735,270
2020-01-06 00:00,1578.775,1579.455,1555.248,1559.285,1380
2020-01-07 00:00,1559.275,1611.325,1557.935,1590.135,1380
2020-01-08 00:00,1590.125,1595.338,1552.178,1557.315,1380
2020-01-09 00:00,1557.285,1559.395,1540.105,1547.765,1380
2020-01-10 00:00,1547.825,1563.008,1545.665,1561.785,1110
2020-01-12 00:00,1561.318,1561.318,1554.235,1556.615,269
2020-01-13 00:00,1556.615,1556.865,1535.828,1540.025,1380
2020-01-14 00:00,1540.035,1552.825,1536.058,1551.635,1378
2020-01-15 00:00,1551.668,1558.148,1546.888,1556.078,1383
2020-01-16 00:00,1556.068,1557.415,1547.975,1553.535,1378
2020-01-17 00:00,1553.445,1561.155,1553.225,1556.945,1110
2020-01-19 00:00,1557.128,1559.015,1556.268,1558.275,270
2020-01-20 00:00,1558.295,1568.508,1558.185,1565.545,1137
2020-01-21 00:00,1565.535,1567.668,1546.238,1551.665,1380
2020-01-22 00:00,1551.665,1563.675,1550.408,1557.325,1381
2020-01-23 00:00,1557.275,1567.848,1551.798,1561.068,1379
2020-01-24 00:00,1561.085,1575.785,1556.455,1571.455,1108
2020-01-26 00:00,1579.248,1588.345,1577.235,1579.915,270
2020-01-27 00:00,1579.925,1586.198,1575.798,1580.605,1380
2020-01-28 00:00,1580.605,1582.218,1563.335,1564.015,1380
2020-01-29 00:00,1563.995,1580.555,1563.975,1578.885,1380
2020-01-30 00:00,1578.875,1585.888,1570.905,1572.835,1380
2020-01-31 00:00,1572.845,1590.528,1571.505,1589.325,1109
2020-02-02 00:00,1593.388,1593.488,1579.538,1580.525,270
2020-02-03 00:00,1580.505,1581.345,1569.188,1576.165,1378
2020-02-04 00:00,1576.195,1576.195,1548.965,1556.935,1380
2020-02-05 00:00,1556.925,1562.368,1547.425,1554.895,1380
2020-02-06 00:00,1554.895,1569.065,1552.385,1567.445,1380
2020-02-07 00:00,1567.428,1574.008,1559.875,1570.198,1110
2020-02-09 00:00,1571.248,1576.578,1567.905,1570.245,270
2020-02-10 00:00,1570.245,1576.928,1566.838,1568.405,1380
2020-02-11 00:00,1568.395,1573.978,1561.925,1567.765,1377
2020-02-12 00:00,1567.815,1573.408,1561.728,1573.118,1380
2020-02-13 00:00,1573.108,1578.248,1571.788,1573.925,1379
